Year,Gender.Code,Ethnicity,svi_bin,attr,Education,source,measure1,measure2,scenario,method,rural_urban_class,Region,mean,lower,upper,min_age,max_age,measure3,agr_by
2000,All genders,"All, All Origins",high svi,attributable,666,National Vital Statistics System,Deaths,absolute number,NAAQS,di_gee,All,United States,24008.7978874842,23351.0226028956,24666.5731720728,25,150,value,nation
2000,All genders,"All, All Origins",high svi,attributable,666,National Vital Statistics System,Deaths,absolute number,NAAQS,di_gee_white,All,United States,20719.9214645411,19733.2585376583,21377.6967491298,25,150,value,nation
2000,All genders,"All, All Origins",high svi,attributable,666,National Vital Statistics System,Deaths,absolute number,WHO,di_gee,All,United States,18684.7496155633,18172.8386671917,19196.6605639349,25,150,value,nation
2000,All genders,"All, All Origins",high svi,attributable,666,National Vital Statistics System,Deaths,absolute number,WHO,di_gee_white,All,United States,16125.1948737053,15357.328451148,16637.1058220769,25,150,value,nation
2000,All genders,"All, All Origins",high svi,attributable,666,National Vital Statistics System,Deaths,absolute number,future threshold,di_gee,All,United States,11881.2818186826,11555.7672483077,12206.7963890575,25,150,value,nation
2000,All genders,"All, All Origins",high svi,attributable,666,National Vital Statistics System,Deaths,absolute number,future threshold,di_gee_white,All,United States,10253.7089668083,9765.43711124598,10579.2235371831,25,150,value,nation
2000,All genders,"All, All Origins",high svi,attributable,666,National Vital Statistics System,Deaths,absolute number,real,di_gee,All,United States,28996.8101760973,28202.3770205878,29791.2433316068,25,150,value,nation
2000,All genders,"All, All Origins",high svi,attributable,666,National Vital Statistics System,Deaths,absolute number,real,di_gee_white,All,United States,25024.6443985497,23832.9946652855,25819.0775540592,25,150,value,nation
2000,All genders,"All, All Origins",high svi,attributable,666,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",NAAQS,di_gee,All,United States,33.2922049916594,32.3800897864084,34.2043201969103,25,150,value,nation
2000,All genders,"All, All Origins",high svi,attributable,666,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",NAAQS,di_gee_white,All,United States,28.7316289654047,27.3634561575283,29.6437441706556,25,150,value,nation
2000,All genders,"All, All Origins",high svi,attributable,666,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",WHO,di_gee,All,United States,25.911595714654,25.2016889827457,26.6215024465623,25,150,value,nation
2000,All genders,"All, All Origins",high svi,attributable,666,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",WHO,di_gee_white,All,United States,22.3620620551123,21.2972019572499,23.0719687870207,25,150,value,nation
2000,All genders,"All, All Origins",high svi,attributable,666,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",future threshold,di_gee,All,United States,16.4777392945854,16.026294382405,16.9291842067658,25,150,value,nation
2000,All genders,"All, All Origins",high svi,attributable,666,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",future threshold,di_gee_white,All,United States,14.2205147336833,13.5433473654127,14.6719596458637,25,150,value,nation
2000,All genders,"All, All Origins",high svi,attributable,666,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",real,di_gee,All,United States,40.2035203141679,39.1020540041907,41.3049866241451,25,150,value,nation
2000,All genders,"All, All Origins",high svi,attributable,666,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",real,di_gee_white,All,United States,34.6961887642819,33.0439892993162,35.7976550742591,25,150,value,nation
2000,All genders,"All, All Origins",middle svi,attributable,666,National Vital Statistics System,Deaths,absolute number,NAAQS,di_gee,All,United States,37393.4269970653,36368.9495450909,38417.9044490397,25,150,value,nation
2000,All genders,"All, All Origins",middle svi,attributable,666,National Vital Statistics System,Deaths,absolute number,NAAQS,di_gee_white,All,United States,32271.0397371933,30734.3235592318,33295.5171891677,25,150,value,nation
2000,All genders,"All, All Origins",middle svi,attributable,666,National Vital Statistics System,Deaths,absolute number,WHO,di_gee,All,United States,29024.0435776706,28228.86430157,29819.2228537711,25,150,value,nation
2000,All genders,"All, All Origins",middle svi,attributable,666,National Vital Statistics System,Deaths,absolute number,WHO,di_gee_white,All,United States,25048.1471971677,23855.3782830169,25843.3264732683,25,150,value,nation
2000,All genders,"All, All Origins",middle svi,attributable,666,National Vital Statistics System,Deaths,absolute number,future threshold,di_gee,All,United States,18192.8602670158,17694.4257391524,18691.2947948793,25,150,value,nation
2000,All genders,"All, All Origins",middle svi,attributable,666,National Vital Statistics System,Deaths,absolute number,future threshold,di_gee_white,All,United States,15700.6876276986,14953.0358359034,16199.122155562,25,150,value,nation
2000,All genders,"All, All Origins",middle svi,attributable,666,National Vital Statistics System,Deaths,absolute number,real,di_gee,All,United States,46337.5687987619,45068.0463659191,47607.0912316046,25,150,value,nation
2000,All genders,"All, All Origins",middle svi,attributable,666,National Vital Statistics System,Deaths,absolute number,real,di_gee_white,All,United States,39989.9566345479,38085.6729852838,41259.4790673907,25,150,value,nation
2000,All genders,"All, All Origins",middle svi,attributable,666,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",NAAQS,di_gee,All,United States,35.7902743028849,34.8097188425319,36.770829763238,25,150,value,nation
2000,All genders,"All, All Origins",middle svi,attributable,666,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",NAAQS,di_gee_white,All,United States,30.8874970011199,29.4166638105904,31.8680524614729,25,150,value,nation
2000,All genders,"All, All Origins",middle svi,attributable,666,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",WHO,di_gee,All,United States,27.7770243551348,27.0160099892407,28.5380387210289,25,150,value,nation
2000,All genders,"All, All Origins",middle svi,attributable,666,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",WHO,di_gee_white,All,United States,23.9719525256643,22.8304309768232,24.7329668915584,25,150,value,nation
2000,All genders,"All, All Origins",middle svi,attributable,666,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",future threshold,di_gee,All,United States,17.4102981180367,16.9333036490494,17.887292587024,25,150,value,nation
2000,All genders,"All, All Origins",middle svi,attributable,666,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",future threshold,di_gee_white,All,United States,15.0253257731002,14.3098340696192,15.5023202420875,25,150,value,nation
2000,All genders,"All, All Origins",middle svi,attributable,666,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",real,di_gee,All,United States,44.3586957189029,43.1433889868782,45.5740024509277,25,150,value,nation
2000,All genders,"All, All Origins",middle svi,attributable,666,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",real,di_gee_white,All,United States,38.2821620587792,36.4592019607422,39.497468790804,25,150,value,nation
2000,All genders,"All, All Origins",low svi,attributable,666,National Vital Statistics System,Deaths,absolute number,NAAQS,di_gee,All,United States,37842.7390405331,36805.9516695596,38879.5264115066,25,150,value,nation
2000,All genders,"All, All Origins",low svi,attributable,666,National Vital Statistics System,Deaths,absolute number,NAAQS,di_gee_white,All,United States,32658.8021856655,31103.6211292053,33695.5895566391,25,150,value,nation
2000,All genders,"All, All Origins",low svi,attributable,666,National Vital Statistics System,Deaths,absolute number,WHO,di_gee,All,United States,28316.5235035704,27540.728339089,29092.3186680518,25,150,value,nation
2000,All genders,"All, All Origins",low svi,attributable,666,National Vital Statistics System,Deaths,absolute number,WHO,di_gee_white,All,United States,24437.5476811635,23273.8549344414,25213.3428456449,25,150,value,nation
2000,All genders,"All, All Origins",low svi,attributable,666,National Vital Statistics System,Deaths,absolute number,future threshold,di_gee,All,United States,17479.345885014,17000.4596963835,17958.2320736446,25,150,value,nation
2000,All genders,"All, All Origins",low svi,attributable,666,National Vital Statistics System,Deaths,absolute number,future threshold,di_gee_white,All,United States,15084.9149418614,14366.5856589157,15563.8011304919,25,150,value,nation
2000,All genders,"All, All Origins",low svi,attributable,666,National Vital Statistics System,Deaths,absolute number,real,di_gee,All,United States,51030.5822904575,49632.4841455135,52428.6804354016,25,150,value,nation
2000,All genders,"All, All Origins",low svi,attributable,666,National Vital Statistics System,Deaths,absolute number,real,di_gee_white,All,United States,44040.0915657373,41942.9443483213,45438.1897106813,25,150,value,nation
2000,All genders,"All, All Origins",low svi,attributable,666,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",NAAQS,di_gee,All,United States,41.095169700758,39.9692746404632,42.2210647610527,25,150,value,nation
2000,All genders,"All, All Origins",low svi,attributable,666,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",NAAQS,di_gee_white,All,United States,35.4656943992843,33.7768518088422,36.591589459579,25,150,value,nation
2000,All genders,"All, All Origins",low svi,attributable,666,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",WHO,di_gee,All,United States,30.7496178538517,29.9071625701845,31.5920731375189,25,150,value,nation
2000,All genders,"All, All Origins",low svi,attributable,666,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",WHO,di_gee_white,All,United States,26.5373414355158,25.2736585100151,27.379796719183,25,150,value,nation
2000,All genders,"All, All Origins",low svi,attributable,666,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",future threshold,di_gee,All,United States,18.9810219577372,18.4609939588951,19.5010499565793,25,150,value,nation
2000,All genders,"All, All Origins",low svi,attributable,666,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",future threshold,di_gee_white,All,United States,16.3808819635266,15.6008399652635,16.9009099623687,25,150,value,nation
2000,All genders,"All, All Origins",low svi,attributable,666,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",real,di_gee,All,United States,55.4197467900726,53.9013975629473,56.9380960171979,25,150,value,nation
2000,All genders,"All, All Origins",low svi,attributable,666,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",real,di_gee_white,All,United States,47.8280006544462,45.5504768137584,49.3463498815715,25,150,value,nation
2000,All genders,"All, All Origins",All,attributable,666,National Vital Statistics System,Deaths,absolute number,NAAQS,di_gee,All,United States,99244.9639250825,96525.923817546,101964.004032619,25,150,value,nation
2000,All genders,"All, All Origins",All,attributable,666,National Vital Statistics System,Deaths,absolute number,NAAQS,di_gee,Large metro,United States,56170.0857060577,54631.1792483574,57708.9921637579,25,150,value,nation
2000,All genders,"All, All Origins",All,attributable,666,National Vital Statistics System,Deaths,absolute number,NAAQS,di_gee,Small-medium metro,United States,28727.1717163054,27940.1259158587,29514.2175167521,25,150,value,nation
2000,All genders,"All, All Origins",All,attributable,666,National Vital Statistics System,Deaths,absolute number,NAAQS,di_gee,Non metro,United States,14347.7065027195,13954.6186533299,14740.7943521091,25,150,value,nation
2000,All genders,"All, All Origins",All,attributable,666,National Vital Statistics System,Deaths,absolute number,NAAQS,di_gee_white,All,United States,85649.7633874,81571.2032260954,88368.8034949365,25,150,value,nation
2000,All genders,"All, All Origins",All,attributable,666,National Vital Statistics System,Deaths,absolute number,NAAQS,di_gee_white,Large metro,United States,48475.5534175566,46167.1937310064,50014.4598752568,25,150,value,nation
2000,All genders,"All, All Origins",All,attributable,666,National Vital Statistics System,Deaths,absolute number,NAAQS,di_gee_white,Small-medium metro,United States,24791.9427140718,23611.3740134017,25578.9885145185,25,150,value,nation
2000,All genders,"All, All Origins",All,attributable,666,National Vital Statistics System,Deaths,absolute number,NAAQS,di_gee_white,Non metro,United States,12382.2672557716,11792.6354816873,12775.3551051612,25,150,value,nation
2000,All genders,"All, All Origins",All,attributable,666,National Vital Statistics System,Deaths,absolute number,WHO,di_gee,All,United States,76025.3166968043,73942.4313078508,78108.2020857579,25,150,value,nation
2000,All genders,"All, All Origins",All,attributable,666,National Vital Statistics System,Deaths,absolute number,WHO,di_gee,Large metro,United States,42426.426367551,41264.0585218646,43588.7942132373,25,150,value,nation
2000,All genders,"All, All Origins",All,attributable,666,National Vital Statistics System,Deaths,absolute number,WHO,di_gee,Small-medium metro,United States,22382.924538012,21769.6937287514,22996.1553472726,25,150,value,nation
2000,All genders,"All, All Origins",All,attributable,666,National Vital Statistics System,Deaths,absolute number,WHO,di_gee,Non metro,United States,11215.9657912413,10908.6790572347,11523.2525252479,25,150,value,nation
2000,All genders,"All, All Origins",All,attributable,666,National Vital Statistics System,Deaths,absolute number,WHO,di_gee_white,All,United States,65610.8897520366,62486.5616686063,67693.7751409901,25,150,value,nation
2000,All genders,"All, All Origins",All,attributable,666,National Vital Statistics System,Deaths,absolute number,WHO,di_gee_white,Large metro,United States,36614.5871391193,34871.0353705899,37776.9549848057,25,150,value,nation
2000,All genders,"All, All Origins",All,attributable,666,National Vital Statistics System,Deaths,absolute number,WHO,di_gee_white,Small-medium metro,United States,19316.770491709,18396.9242778181,19930.0013009696,25,150,value,nation
2000,All genders,"All, All Origins",All,attributable,666,National Vital Statistics System,Deaths,absolute number,WHO,di_gee_white,Non metro,United States,9679.53212120824,9218.60202019833,9986.81885521485,25,150,value,nation
2000,All genders,"All, All Origins",All,attributable,666,National Vital Statistics System,Deaths,absolute number,future threshold,di_gee,All,United States,47553.4879707125,46250.6526838436,48856.3232575813,25,150,value,nation
2000,All genders,"All, All Origins",All,attributable,666,National Vital Statistics System,Deaths,absolute number,future threshold,di_gee,Large metro,United States,26177.0215680116,25459.8428949154,26894.2002411078,25,150,value,nation
2000,All genders,"All, All Origins",All,attributable,666,National Vital Statistics System,Deaths,absolute number,future threshold,di_gee,Small-medium metro,United States,14164.8964133568,13776.8170595662,14552.9757671474,25,150,value,nation
2000,All genders,"All, All Origins",All,attributable,666,National Vital Statistics System,Deaths,absolute number,future threshold,di_gee,Non metro,United States,7211.56998934399,7013.99272936196,7409.14724932602,25,150,value,nation
2000,All genders,"All, All Origins",All,attributable,666,National Vital Statistics System,Deaths,absolute number,future threshold,di_gee_white,All,United States,41039.3115363683,39085.0586060651,42342.1468232371,25,150,value,nation
2000,All genders,"All, All Origins",All,attributable,666,National Vital Statistics System,Deaths,absolute number,future threshold,di_gee_white,Large metro,United States,22591.1282025306,21515.3601928863,23308.3068756268,25,150,value,nation
2000,All genders,"All, All Origins",All,attributable,666,National Vital Statistics System,Deaths,absolute number,future threshold,di_gee_white,Small-medium metro,United States,12224.4996444039,11642.380613718,12612.5789981944,25,150,value,nation
