Year,Gender.Code,Ethnicity,svi_bin,attr,Education,source,measure1,measure2,scenario,method,rural_urban_class,Region,mean,lower,upper,min_age,max_age,measure3,agr_by
2000,All genders,"All, All Origins",high svi,attributable,666,National Vital Statistics System,Deaths,absolute number,NAAQS,di_gee,All,United States,19087.1610124366,18564.2250942876,19610.0969305855,65,150,value,nation
2000,All genders,"All, All Origins",high svi,attributable,666,National Vital Statistics System,Deaths,absolute number,NAAQS,di_gee_white,All,United States,16472.4814216918,15688.0775444684,16995.4173398408,65,150,value,nation
2000,All genders,"All, All Origins",high svi,attributable,666,National Vital Statistics System,Deaths,absolute number,WHO,di_gee,All,United States,14882.0696851728,14474.3417485927,15289.7976217528,65,150,value,nation
2000,All genders,"All, All Origins",high svi,attributable,666,National Vital Statistics System,Deaths,absolute number,WHO,di_gee_white,All,United States,12843.4300022724,12231.8380974023,13251.1579388524,65,150,value,nation
2000,All genders,"All, All Origins",high svi,attributable,666,National Vital Statistics System,Deaths,absolute number,future threshold,di_gee,All,United States,9477.02909774124,9217.38446492641,9736.67373055607,65,150,value,nation
2000,All genders,"All, All Origins",high svi,attributable,666,National Vital Statistics System,Deaths,absolute number,future threshold,di_gee_white,All,United States,8178.8059336671,7789.33898444486,8438.45056648193,65,150,value,nation
2000,All genders,"All, All Origins",high svi,attributable,666,National Vital Statistics System,Deaths,absolute number,real,di_gee,All,United States,22984.5374512289,22354.8240964007,23614.2508060571,65,150,value,nation
2000,All genders,"All, All Origins",high svi,attributable,666,National Vital Statistics System,Deaths,absolute number,real,di_gee_white,All,United States,19835.970677088,18891.4006448457,20465.6840319161,65,150,value,nation
2000,All genders,"All, All Origins",high svi,attributable,666,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",NAAQS,di_gee,All,United States,26.8049916626958,26.0706083294713,27.5393749959203,65,150,value,nation
2000,All genders,"All, All Origins",high svi,attributable,666,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",NAAQS,di_gee_white,All,United States,23.1330749965731,22.0314999967363,23.8674583297976,65,150,value,nation
2000,All genders,"All, All Origins",high svi,attributable,666,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",WHO,di_gee,All,United States,20.8993445525809,20.3267597703184,21.4719293348434,65,150,value,nation
2000,All genders,"All, All Origins",high svi,attributable,666,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",WHO,di_gee_white,All,United States,18.0364206412684,17.1775434678747,18.6090054235309,65,150,value,nation
2000,All genders,"All, All Origins",high svi,attributable,666,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",future threshold,di_gee,All,United States,13.3087655401541,12.9441418267252,13.673389253583,65,150,value,nation
2000,All genders,"All, All Origins",high svi,attributable,666,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",future threshold,di_gee_white,All,United States,11.4856469730097,10.9387114028664,11.8502706864386,65,150,value,nation
2000,All genders,"All, All Origins",high svi,attributable,666,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",real,di_gee,All,United States,32.2786760918269,31.3943288016399,33.163023382014,65,150,value,nation
2000,All genders,"All, All Origins",high svi,attributable,666,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",real,di_gee_white,All,United States,27.8569396408917,26.5304187056112,28.7412869310788,65,150,value,nation
2000,All genders,"All, All Origins",middle svi,attributable,666,National Vital Statistics System,Deaths,absolute number,NAAQS,di_gee,All,United States,29267.8909102624,28466.0308853237,30069.7509352011,65,150,value,nation
2000,All genders,"All, All Origins",middle svi,attributable,666,National Vital Statistics System,Deaths,absolute number,NAAQS,di_gee_white,All,United States,25258.590785569,24055.8007481609,26060.4508105076,65,150,value,nation
2000,All genders,"All, All Origins",middle svi,attributable,666,National Vital Statistics System,Deaths,absolute number,WHO,di_gee,All,United States,22751.438217127,22128.1111426852,23374.7652915689,65,150,value,nation
2000,All genders,"All, All Origins",middle svi,attributable,666,National Vital Statistics System,Deaths,absolute number,WHO,di_gee_white,All,United States,19634.8028449178,18699.8122332551,20258.1299193597,65,150,value,nation
2000,All genders,"All, All Origins",middle svi,attributable,666,National Vital Statistics System,Deaths,absolute number,future threshold,di_gee,All,United States,14272.3680157326,13881.3442344796,14663.3917969855,65,150,value,nation
2000,All genders,"All, All Origins",middle svi,attributable,666,National Vital Statistics System,Deaths,absolute number,future threshold,di_gee_white,All,United States,12317.2491094678,11730.7134375884,12708.2728907208,65,150,value,nation
2000,All genders,"All, All Origins",middle svi,attributable,666,National Vital Statistics System,Deaths,absolute number,real,di_gee,All,United States,36173.7062297475,35182.6457850969,37164.7666743981,65,150,value,nation
2000,All genders,"All, All Origins",middle svi,attributable,666,National Vital Statistics System,Deaths,absolute number,real,di_gee_white,All,United States,31218.4040064944,29731.8133395185,32209.464451145,65,150,value,nation
2000,All genders,"All, All Origins",middle svi,attributable,666,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",NAAQS,di_gee,All,United States,27.5568949598561,26.8019115362984,28.3118783834138,65,150,value,nation
2000,All genders,"All, All Origins",middle svi,attributable,666,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",NAAQS,di_gee_white,All,United States,23.7819778420676,22.6495027067311,24.5369612656253,65,150,value,nation
2000,All genders,"All, All Origins",middle svi,attributable,666,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",WHO,di_gee,All,United States,21.4211298314014,20.8342495620479,22.0080101007548,65,150,value,nation
2000,All genders,"All, All Origins",middle svi,attributable,666,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",WHO,di_gee_white,All,United States,18.4867284846341,17.6064080806039,19.0736087539875,65,150,value,nation
2000,All genders,"All, All Origins",middle svi,attributable,666,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",future threshold,di_gee,All,United States,13.437774540803,13.0696163342056,13.8059327474003,65,150,value,nation
2000,All genders,"All, All Origins",middle svi,attributable,666,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",future threshold,di_gee_white,All,United States,11.5969835078162,11.0447461979203,11.9651417144136,65,150,value,nation
2000,All genders,"All, All Origins",middle svi,attributable,666,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",real,di_gee,All,United States,34.059686865923,33.1265447600073,34.9928289718387,65,150,value,nation
2000,All genders,"All, All Origins",middle svi,attributable,666,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",real,di_gee_white,All,United States,29.3939763363445,27.994263177471,30.3271184422602,65,150,value,nation
2000,All genders,"All, All Origins",low svi,attributable,666,National Vital Statistics System,Deaths,absolute number,NAAQS,di_gee,All,United States,27929.6847230953,27164.4878813666,28694.8815648239,65,150,value,nation
2000,All genders,"All, All Origins",low svi,attributable,666,National Vital Statistics System,Deaths,absolute number,NAAQS,di_gee_white,All,United States,24103.7005144521,22955.9052518592,24868.8973561807,65,150,value,nation
2000,All genders,"All, All Origins",low svi,attributable,666,National Vital Statistics System,Deaths,absolute number,WHO,di_gee,All,United States,20925.9198142006,20352.6069425787,21499.2326858225,65,150,value,nation
2000,All genders,"All, All Origins",low svi,attributable,666,National Vital Statistics System,Deaths,absolute number,WHO,di_gee_white,All,United States,18059.3554560909,17199.386148658,18632.6683277129,65,150,value,nation
2000,All genders,"All, All Origins",low svi,attributable,666,National Vital Statistics System,Deaths,absolute number,future threshold,di_gee,All,United States,12930.1862432828,12575.9345653846,13284.437921181,65,150,value,nation
2000,All genders,"All, All Origins",low svi,attributable,666,National Vital Statistics System,Deaths,absolute number,future threshold,di_gee_white,All,United States,11158.927853792,10627.5503369448,11513.1795316902,65,150,value,nation
2000,All genders,"All, All Origins",low svi,attributable,666,National Vital Statistics System,Deaths,absolute number,real,di_gee,All,United States,37610.0412370186,36579.6291483331,38640.453325704,65,150,value,nation
2000,All genders,"All, All Origins",low svi,attributable,666,National Vital Statistics System,Deaths,absolute number,real,di_gee_white,All,United States,32457.9807935914,30912.3626605633,33488.3928822768,65,150,value,nation
2000,All genders,"All, All Origins",low svi,attributable,666,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",NAAQS,di_gee,All,United States,30.1672873917845,29.340786367352,30.9937884162169,65,150,value,nation
2000,All genders,"All, All Origins",low svi,attributable,666,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",NAAQS,di_gee_white,All,United States,26.0347822696222,24.7950307329736,26.8612832940547,65,150,value,nation
2000,All genders,"All, All Origins",low svi,attributable,666,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",WHO,di_gee,All,United States,22.602572472137,21.9833239112565,23.2218210330174,65,150,value,nation
2000,All genders,"All, All Origins",low svi,attributable,666,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",WHO,di_gee_white,All,United States,19.5063296677346,18.577456826414,20.1255782286151,65,150,value,nation
2000,All genders,"All, All Origins",low svi,attributable,666,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",future threshold,di_gee,All,United States,13.9662842221886,13.583646298293,14.3489221460842,65,150,value,nation
2000,All genders,"All, All Origins",low svi,attributable,666,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",future threshold,di_gee_white,All,United States,12.0530946027107,11.4791377168674,12.4357325266063,65,150,value,nation
2000,All genders,"All, All Origins",low svi,attributable,666,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",real,di_gee,All,United States,40.6243379378521,39.5113423779109,41.7373334977932,65,150,value,nation
2000,All genders,"All, All Origins",low svi,attributable,666,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",real,di_gee_white,All,United States,35.0593601381463,33.3898667982346,36.1723556980874,65,150,value,nation
2000,All genders,"All, All Origins",All,attributable,666,National Vital Statistics System,Deaths,absolute number,NAAQS,di_gee,All,United States,76284.7366457943,74194.743860978,78374.7294306106,65,150,value,nation
2000,All genders,"All, All Origins",All,attributable,666,National Vital Statistics System,Deaths,absolute number,NAAQS,di_gee,Large metro,United States,42762.0051588341,41590.4433736605,43933.5669440076,65,150,value,nation
2000,All genders,"All, All Origins",All,attributable,666,National Vital Statistics System,Deaths,absolute number,NAAQS,di_gee,Small-medium metro,United States,22269.4851627295,21659.3622815588,22879.6080439001,65,150,value,nation
2000,All genders,"All, All Origins",All,attributable,666,National Vital Statistics System,Deaths,absolute number,NAAQS,di_gee,Non metro,United States,11253.2463242308,10944.9382057587,11561.5544427028,65,150,value,nation
2000,All genders,"All, All Origins",All,attributable,666,National Vital Statistics System,Deaths,absolute number,NAAQS,di_gee_white,All,United States,65834.7727217129,62699.7835444885,67924.7655065291,65,150,value,nation
2000,All genders,"All, All Origins",All,attributable,666,National Vital Statistics System,Deaths,absolute number,NAAQS,di_gee_white,Large metro,United States,36904.1962329664,35146.8535552061,38075.7580181399,65,150,value,nation
2000,All genders,"All, All Origins",All,attributable,666,National Vital Statistics System,Deaths,absolute number,NAAQS,di_gee_white,Small-medium metro,United States,19218.8707568761,18303.6864351201,19828.9936380468,65,150,value,nation
2000,All genders,"All, All Origins",All,attributable,666,National Vital Statistics System,Deaths,absolute number,NAAQS,di_gee_white,Non metro,United States,9711.70573187037,9249.24355416227,10020.0138503424,65,150,value,nation
2000,All genders,"All, All Origins",All,attributable,666,National Vital Statistics System,Deaths,absolute number,WHO,di_gee,All,United States,58559.4277165004,56955.0598338565,60163.7955991442,65,150,value,nation
2000,All genders,"All, All Origins",All,attributable,666,National Vital Statistics System,Deaths,absolute number,WHO,di_gee,Large metro,United States,32343.9378598854,31457.8025760529,33230.0731437179,65,150,value,nation
2000,All genders,"All, All Origins",All,attributable,666,National Vital Statistics System,Deaths,absolute number,WHO,di_gee,Small-medium metro,United States,17387.7552820203,16911.3784249787,17864.132139062,65,150,value,nation
2000,All genders,"All, All Origins",All,attributable,666,National Vital Statistics System,Deaths,absolute number,WHO,di_gee,Non metro,United States,8827.73457459459,8585.87883282488,9069.59031636431,65,150,value,nation
2000,All genders,"All, All Origins",All,attributable,666,National Vital Statistics System,Deaths,absolute number,WHO,di_gee_white,All,United States,50537.5883032811,48131.0364793154,52141.956185925,65,150,value,nation
2000,All genders,"All, All Origins",All,attributable,666,National Vital Statistics System,Deaths,absolute number,WHO,di_gee_white,Large metro,United States,27913.261440723,26584.0585149743,28799.3967245555,65,150,value,nation
2000,All genders,"All, All Origins",All,attributable,666,National Vital Statistics System,Deaths,absolute number,WHO,di_gee_white,Small-medium metro,United States,15005.8709968121,14291.3057112496,15482.2478538537,65,150,value,nation
2000,All genders,"All, All Origins",All,attributable,666,National Vital Statistics System,Deaths,absolute number,WHO,di_gee_white,Non metro,United States,7618.45586574602,7255.67225309145,7860.31160751573,65,150,value,nation
2000,All genders,"All, All Origins",All,attributable,666,National Vital Statistics System,Deaths,absolute number,future threshold,di_gee,All,United States,36679.5833567566,35674.6632647907,37684.5034487226,65,150,value,nation
2000,All genders,"All, All Origins",All,attributable,666,National Vital Statistics System,Deaths,absolute number,future threshold,di_gee,Large metro,United States,19968.9917047284,19421.8960415851,20516.0873678716,65,150,value,nation
2000,All genders,"All, All Origins",All,attributable,666,National Vital Statistics System,Deaths,absolute number,future threshold,di_gee,Small-medium metro,United States,11016.4772402774,10714.6559460232,11318.2985345316,65,150,value,nation
2000,All genders,"All, All Origins",All,attributable,666,National Vital Statistics System,Deaths,absolute number,future threshold,di_gee,Non metro,United States,5694.11441175086,5538.11127718234,5850.11754631938,65,150,value,nation
2000,All genders,"All, All Origins",All,attributable,666,National Vital Statistics System,Deaths,absolute number,future threshold,di_gee_white,All,United States,31654.982896927,30147.6027589781,32659.9029888929,65,150,value,nation
2000,All genders,"All, All Origins",All,attributable,666,National Vital Statistics System,Deaths,absolute number,future threshold,di_gee_white,Large metro,United States,17233.5133890122,16412.8698942973,17780.6090521554,65,150,value,nation
2000,All genders,"All, All Origins",All,attributable,666,National Vital Statistics System,Deaths,absolute number,future threshold,di_gee_white,Small-medium metro,United States,9507.37076900652,9054.63882762526,9809.19206326069,65,150,value,nation
2000,All genders,"All, All Origins",All,attributable,666,National Vital Statistics System,Deaths,absolute number,future threshold,di_gee_white,Non metro,United States,4914.09873890827,4680.0940370555,5070.10187347679,65,150,value,nation
2000,All genders,"All, All Origins",All,attributable,666,National Vital Statistics System,Deaths,absolute number,real,di_gee,All,United States,96768.284917995,94117.0990298308,99419.4708061592,65,150,value,nation
2000,All genders,"All, All Origins",All,attributable,666,National Vital Statistics System,Deaths,absolute number,real,di_gee,Large metro,United States,57098.0592758576,55533.7288847382,58662.3896669769,65,150,value,nation
2000,All genders,"All, All Origins",All,attributable,666,National Vital Statistics System,Deaths,absolute number,real,di_gee,Small-medium metro,United States,26621.7964681447,25892.4321813462,27351.1607549432,65,150,value,nation
2000,All genders,"All, All Origins",All,attributable,666,National Vital Statistics System,Deaths,absolute number,real,di_gee,Non metro,United States,13048.4291739927,12690.9379637464,13405.9203842391,65,150,value,nation
2000,All genders,"All, All Origins",All,attributable,666,National Vital Statistics System,Deaths,absolute number,real,di_gee_white,All,United States,83512.3554771738,79535.5766449275,86163.541365338,65,150,value,nation
2000,All genders,"All, All Origins",All,attributable,666,National Vital Statistics System,Deaths,absolute number,real,di_gee_white,Large metro,United States,49276.4073202606,46929.9117335816,50840.73771138,65,150,value,nation
2000,All genders,"All, All Origins",All,attributable,666,National Vital Statistics System,Deaths,absolute number,real,di_gee_white,Small-medium metro,United States,22974.9750341523,21880.9286039546,23704.3393209508,65,150,value,nation
2000,All genders,"All, All Origins",All,attributable,666,National Vital Statistics System,Deaths,absolute number,real,di_gee_white,Non metro,United States,11260.9731227609,10724.7363073913,11618.4643330072,65,150,value,nation
2000,All genders,"All, All Origins",All,attributable,666,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",NAAQS,di_gee,All,United States,27.5816833603506,26.8260208025328,28.3373459181684,65,150,value,nation
2000,All genders,"All, All Origins",All,attributable,666,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",NAAQS,di_gee,Large metro,United States,29.8963139139199,29.0772368203878,30.7153910074519,65,150,value,nation
2000,All genders,"All, All Origins",All,attributable,666,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",NAAQS,di_gee,Small-medium metro,United States,27.2825666308737,26.5350990519457,28.0300342098018,65,150,value,nation
