Year,Gender.Code,Ethnicity,svi_bin,attr,Education,source,measure1,measure2,scenario,method,rural_urban_class,Region,mean,lower,upper,min_age,max_age,measure3,agr_by
2000,All genders,"All, All Origins",high svi,attributable,666,National Vital Statistics System,Deaths,absolute number,NAAQS,di_gee,All,United States,4.15172945848449,4.03798344592326,4.2654754710457,65,150,prop. of overall burden,nation
2000,All genders,"All, All Origins",high svi,attributable,666,National Vital Statistics System,Deaths,absolute number,NAAQS,di_gee_white,All,United States,3.58299939567838,3.41238037683656,3.69674540823961,65,150,prop. of overall burden,nation
2000,All genders,"All, All Origins",high svi,attributable,666,National Vital Statistics System,Deaths,absolute number,WHO,di_gee,All,United States,3.23706218409814,3.14837554891737,3.3257488192789,65,150,prop. of overall burden,nation
2000,All genders,"All, All Origins",high svi,attributable,666,National Vital Statistics System,Deaths,absolute number,WHO,di_gee_white,All,United States,2.79362900819428,2.66059905542313,2.88231564337504,65,150,prop. of overall burden,nation
2000,All genders,"All, All Origins",high svi,attributable,666,National Vital Statistics System,Deaths,absolute number,future threshold,di_gee,All,United States,2.06138884972838,2.0049124428865,2.11786525657025,65,150,prop. of overall burden,nation
2000,All genders,"All, All Origins",high svi,attributable,666,National Vital Statistics System,Deaths,absolute number,future threshold,di_gee_white,All,United States,1.77900681551901,1.6942922052562,1.83548322236088,65,150,prop. of overall burden,nation
2000,All genders,"All, All Origins",high svi,attributable,666,National Vital Statistics System,Deaths,absolute number,real,di_gee,All,United States,4.9994643605579,4.86249273424125,5.13643598687456,65,150,prop. of overall burden,nation
2000,All genders,"All, All Origins",high svi,attributable,666,National Vital Statistics System,Deaths,absolute number,real,di_gee_white,All,United States,4.31460622897464,4.10914878949965,4.45157785529127,65,150,prop. of overall burden,nation
2000,All genders,"All, All Origins",high svi,attributable,666,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",NAAQS,di_gee,All,United States,4.1518386636249,4.03808965914204,4.26558766810777,65,150,prop. of overall burden,nation
2000,All genders,"All, All Origins",high svi,attributable,666,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",NAAQS,di_gee_white,All,United States,3.58309364121054,3.41247013448623,3.6968426456934,65,150,prop. of overall burden,nation
