Year,Gender.Code,Ethnicity,svi_bin,attr,Education,source,measure1,measure2,scenario,method,rural_urban_class,Region,mean,lower,upper,min_age,max_age,measure3,agr_by
1992,All genders,"All, All Origins",1,attributable,666,National Vital Statistics System,Deaths,absolute number,real,di_gee,All,United States,3.85347623459821,3.74790154323935,3.95905092595707,25,150,prop. of overall burden,nation
1992,All genders,"All, All Origins",1,attributable,666,National Vital Statistics System,Deaths,absolute number,real,di_gee_white,All,United States,3.32560277780393,3.16724074076566,3.43117746916278,25,150,prop. of overall burden,nation
1992,All genders,"All, All Origins",1,attributable,666,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",real,di_gee,All,United States,3.34254969123584,3.25097298736637,3.43412639510532,25,150,prop. of overall burden,nation
1992,All genders,"All, All Origins",1,attributable,666,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",real,di_gee_white,All,United States,2.88466617188847,2.74730111608425,2.97624287575793,25,150,prop. of overall burden,nation
1992,All genders,"All, All Origins",2,attributable,666,National Vital Statistics System,Deaths,absolute number,real,di_gee,All,United States,4.18466496683159,4.07001661157593,4.29931332208725,25,150,prop. of overall burden,nation
1992,All genders,"All, All Origins",2,attributable,666,National Vital Statistics System,Deaths,absolute number,real,di_gee_white,All,United States,3.61142319055329,3.43945065766981,3.72607154580895,25,150,prop. of overall burden,nation
1992,All genders,"All, All Origins",2,attributable,666,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",real,di_gee,All,United States,3.66768952512668,3.56720488060267,3.7681741696507,25,150,prop. of overall burden,nation
1992,All genders,"All, All Origins",2,attributable,666,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",real,di_gee_white,All,United States,3.16526630250659,3.01453933572057,3.26575094703061,25,150,prop. of overall burden,nation
1992,All genders,"All, All Origins",3,attributable,666,National Vital Statistics System,Deaths,absolute number,real,di_gee,All,United States,4.82895429325009,4.6966541756268,4.96125441087338,25,150,prop. of overall burden,nation
1992,All genders,"All, All Origins",3,attributable,666,National Vital Statistics System,Deaths,absolute number,real,di_gee_white,All,United States,4.16745370513363,3.96900352869871,4.29975382275693,25,150,prop. of overall burden,nation
1992,All genders,"All, All Origins",3,attributable,666,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",real,di_gee,All,United States,4.1198171116818,4.00694540999189,4.23268881337171,25,150,prop. of overall burden,nation
1992,All genders,"All, All Origins",3,attributable,666,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",real,di_gee_white,All,United States,3.55545860323223,3.38615105069737,3.66833030492214,25,150,prop. of overall burden,nation
