Year,Gender.Code,Ethnicity,rural_urban_class,attr,Education,source,measure1,measure2,scenario,method,Region,mean,lower,upper,min_age,max_age,measure3,agr_by
1990,All genders,"All, All Origins",Large metro,attributable,666,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",future threshold,di_gee,United States,13.3560260896492,12.9901075666452,13.7219446126533,65,150,value,nation
1990,All genders,"All, All Origins",Large metro,attributable,666,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",future threshold,di_gee_white,United States,11.5264334746288,10.9775556901227,11.8923519976329,65,150,value,nation
1990,All genders,"All, All Origins",Large metro,attributable,666,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",NAAQS,di_gee,United States,30.8880531349522,30.0418051038576,31.7343011660468,65,150,value,nation
1990,All genders,"All, All Origins",Large metro,attributable,666,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",NAAQS,di_gee_white,United States,26.6568129794793,25.3874409328375,27.5030610105739,65,150,value,nation
1990,All genders,"All, All Origins",Large metro,attributable,666,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",real,burnett,United States,88.7890012997374,67.8193080151523,108.837851020725,65,150,value,nation
1990,All genders,"All, All Origins",Large metro,attributable,666,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",real,di_gee,United States,61.5067702745381,59.8216532807151,63.191887268361,65,150,value,nation
1990,All genders,"All, All Origins",Large metro,attributable,666,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",real,di_gee_white,United States,53.0811853054232,50.5535098146889,54.7663022992462,65,150,value,nation
1990,All genders,"All, All Origins",Large metro,attributable,666,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",WHO,di_gee,United States,22.2125846465098,21.6040206835917,22.8211486094279,65,150,value,nation
1990,All genders,"All, All Origins",Large metro,attributable,666,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",WHO,di_gee_white,United States,19.1697648319194,18.2569188875423,19.7783287948375,65,150,value,nation
1990,All genders,"All, All Origins",Small-medium metro,attributable,666,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",future threshold,di_gee,United States,8.93897978726752,8.69407623145197,9.18388334308307,65,150,value,nation
1990,All genders,"All, All Origins",Small-medium metro,attributable,666,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",future threshold,di_gee_white,United States,7.71446200818978,7.34710667446646,7.95936556400532,65,150,value,nation
1990,All genders,"All, All Origins",Small-medium metro,attributable,666,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",NAAQS,di_gee,United States,20.1893943014064,19.6362602109569,20.7425283918559,65,150,value,nation
1990,All genders,"All, All Origins",Small-medium metro,attributable,666,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",NAAQS,di_gee_white,United States,17.4237238491589,16.5940227134847,17.9768579396084,65,150,value,nation
1990,All genders,"All, All Origins",Small-medium metro,attributable,666,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",real,burnett,United States,54.5328748929967,41.5709125103725,66.9775162574659,65,150,value,nation
1990,All genders,"All, All Origins",Small-medium metro,attributable,666,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",real,di_gee,United States,33.91782107426,32.9885657023624,34.8470764461575,65,150,value,nation
1990,All genders,"All, All Origins",Small-medium metro,attributable,666,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",real,di_gee_white,United States,29.2715442147723,27.8776611569261,30.2007995866698,65,150,value,nation
1990,All genders,"All, All Origins",Small-medium metro,attributable,666,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",WHO,di_gee,United States,14.7465502272303,14.3425351525117,15.1505653019489,65,150,value,nation
1990,All genders,"All, All Origins",Small-medium metro,attributable,666,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",WHO,di_gee_white,United States,12.7264748536371,12.1204522415592,13.1304899283557,65,150,value,nation
